chave,numero,serie,cod_sit,data,valor_total,tem_itens,tem_combustivel,combustiveis,litros_total,valor_itens_combustivel
32230203811983000134650020010649251157148849,1064925,002,00,2023-02-01,240,nao,nao,,,
32230203811983000134650020010649261864014518,1064926,002,00,2023-02-01,"362,4",nao,nao,,,
32230203811983000134650020010649271881823353,1064927,002,00,2023-02-01,"113,46",nao,nao,,,
32230203811983000134650020010649281298898994,1064928,002,00,2023-02-01,"660,47",nao,nao,,,
32230203811983000134650020010649291378531024,1064929,002,00,2023-02-01,30,nao,nao,,,
32230203811983000134650020010649301402666746,1064930,002,00,2023-02-01,550,nao,nao,,,
32230203811983000134650020010649311161856230,1064931,002,00,2023-02-01,"100,02",nao,nao,,,
32230203811983000134650020010649321676141653,1064932,002,00,2023-02-01,500,nao,nao,,,
32230203811983000134650020010649331262610117,1064933,002,00,2023-02-01,"2338,23",nao,nao,,,
32230203811983000134650020010649341667270033,1064934,002,00,2023-02-01,"356,27",nao,nao,,,
32230203811983000134650020010649351119177558,1064935,002,02,,0,nao,nao,,,
32230203811983000134650020010649361288546353,1064936,002,00,2023-02-01,150,nao,nao,,,
32230203811983000134650020010649371287435385,1064937,002,00,2023-02-01,1188,nao,nao,,,
32230203811983000134650020010649381797399710,1064938,002,00,2023-02-01,135,nao,nao,,,
32230203811983000134650020010649391689032131,1064939,002,00,2023-02-01,"1090,95",nao,nao,,,
32230203811983000134650020010649401095349389,1064940,002,00,2023-02-01,"475,2",nao,nao,,,
32230203811983000134650020010649411291145208,1064941,002,00,2023-02-01,"670,01",nao,nao,,,
32230203811983000134650020010649421000134104,1064942,002,00,2023-02-01,"389,91",nao,nao,,,
32230203811983000134650020010649431904950333,1064943,002,00,2023-02-01,300,nao,nao,,,
32230203811983000134650020010649441613878080,1064944,002,00,2023-02-01,130,nao,nao,,,
32230203811983000134650020010649451767643498,1064945,002,00,2023-02-01,180,nao,nao,,,
32230203811983000134650020010649461974277044,1064946,002,00,2023-02-01,"1230,38",nao,nao,,,
32230203811983000134650020010649471001907863,1064947,002,00,2023-02-01,594,nao,nao,,,
32230203811983000134650020010649481386897771,1064948,002,00,2023-02-01,"176,73",nao,nao,,,
32230203811983000134650020010649491167754263,1064949,002,00,2023-02-01,"155,45",nao,nao,,,
32230203811983000134650020010649501811290990,1064950,002,00,2023-02-01,"92,04",nao,nao,,,
32230203811983000134650020010649511354897313,1064951,002,00,2023-02-01,150,nao,nao,,,
32230203811983000134650020010649521390642491,1064952,002,02,,0,nao,nao,,,
32230203811983000134650020010649531485285332,1064953,002,00,2023-02-01,60,nao,nao,,,
32230203811983000134650020010649541512610755,1064954,002,00,2023-02-01,"877,1",nao,nao,,,
